
NOTICE: Existing SQLite export found: report1.sqlite
        It is assumed file was previously exported from: report1.nsys-rep
        Consider using --force-export=true if needed.

Processing [report1.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)  Min (ns)   Max (ns)    StdDev (ns)   Style                  Range               
 --------  ---------------  ---------  -----------  --------  --------  -----------  -----------  -------  -----------------------------------
     94.3    5,107,142,471     19,068    267,838.4   6,101.0     5,240  125,812,749  3,501,970.8  PushPop  CCCL:cub::DeviceRadixSort          
      2.3      126,581,781     10,109     12,521.7  12,053.0    10,239    3,148,122     31,209.6  PushPop  CCCL:cub::DeviceReduce::Sum        
      2.2      118,906,495     10,109     11,762.4  11,251.0    10,490    1,417,739     14,256.7  PushPop  CCCL:cub::DeviceSelect::Flagged    
      1.1       60,107,861         50  1,202,157.2  14,177.0    12,864   59,410,869  8,399,954.1  PushPop  CCCL:cub::DeviceSelect::UniqueByKey
      0.0        1,757,894         50     35,157.9  15,023.5    13,526    1,018,592    141,919.7  PushPop  CCCL:cub::DeviceScan::ExclusiveScan

Processing [report1.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)      Min (ns)      Max (ns)       StdDev (ns)              Name         
 --------  ---------------  ---------  ---------------  ---------------  ---------  --------------  ----------------  ----------------------
     30.9  238,383,467,547     12,080     19,733,730.8     10,074,395.5      1,012  66,550,154,827     605,688,116.7  poll                  
     17.7  136,445,903,519     13,365     10,209,195.9          2,084.0      1,001  66,552,171,482     814,386,071.0  read                  
     13.5  104,409,561,385        139    751,147,923.6    545,503,154.0     53,381   2,357,243,597     606,020,817.4  pthread_cond_wait     
     13.1  100,894,357,144         21  4,804,493,197.3  2,319,594,639.0     30,097  10,000,091,898   4,970,670,801.4  sem_timedwait         
      8.8   67,469,754,774         81    832,959,935.5  1,000,070,267.0  1,058,057   1,000,169,546     367,968,213.2  clock_nanosleep       
      8.7   66,848,470,630         30  2,228,282,354.3        623,156.5     24,426  66,551,400,189  12,148,740,651.6  sem_wait              
      7.0   53,628,453,800        251    213,659,178.5      4,284,377.0      1,914     500,767,353     247,396,476.4  pthread_cond_timedwait
      0.1    1,028,762,557     13,699         75,097.6         23,755.0      1,012      11,849,127         416,580.8  ioctl                 
      0.1      431,353,887    119,561          3,607.8          2,795.0      2,184       6,376,466          19,713.0  munmap                
      0.0      341,438,676         32     10,669,958.6     10,202,714.0  9,881,595      20,881,982       1,965,177.8  fork                  
      0.0      267,064,492    119,570          2,233.5          1,823.0      1,392       3,128,865          10,485.4  mmap64                
      0.0      190,507,496        111      1,716,283.7         27,502.0      1,182       7,466,513       2,494,671.3  pthread_mutex_lock    
      0.0      101,217,062         20      5,060,853.1      5,060,830.0  5,058,986       5,064,026           1,304.4  nanosleep             
      0.0       51,860,175     15,069          3,441.5          3,337.0      1,202          55,215           1,299.9  open64                
      0.0       40,200,980         95        423,168.2          2,354.0      1,002      25,430,109       2,831,420.0  waitpid               
      0.0        4,097,502         66         62,083.4         62,043.0     54,152          83,809           5,308.2  sleep                 
      0.0        3,842,502         28        137,232.2         92,230.0      1,593         338,623         132,972.8  pthread_rwlock_wrlock 
      0.0        3,636,226        322         11,292.6          1,588.0      1,022         101,102          18,126.2  fgets                 
      0.0        3,623,844        431          8,408.0          3,397.0      1,653         479,169          32,089.3  mmap                  
      0.0        3,460,145         30        115,338.2         20,213.5      8,486       1,249,170         275,685.3  pthread_join          
      0.0        1,756,915         35         50,197.6         39,255.0     13,496         204,588          36,550.4  pthread_create        
      0.0        1,725,348        363          4,753.0          2,715.0      1,012         185,693          11,927.6  pthread_cond_signal   
      0.0        1,531,543        308          4,972.5          3,857.0      1,252          23,635           3,184.7  fopen                 
      0.0        1,292,142        961          1,344.6          1,092.0      1,001          10,440             616.6  fclose                
      0.0          990,680         91         10,886.6          4,478.0      1,082          45,136          12,165.1  write                 
      0.0          790,101        118          6,695.8          4,388.5      1,783          25,248           4,946.2  fread                 
      0.0          575,280         21         27,394.3         23,634.0      2,305          98,958          20,179.6  pthread_rwlock_rdlock 
      0.0          570,158         50         11,403.2         12,178.0      1,773          32,091           6,537.4  fopen64               
      0.0          428,389         94          4,557.3          4,153.0      2,515          13,315           1,912.0  pipe2                 
      0.0          283,118          9         31,457.6         33,113.0      9,438          52,350          14,550.8  connect               
      0.0          225,479         47          4,797.4          4,038.0      1,974          13,315           2,722.8  open                  
      0.0          107,442         12          8,953.5          9,523.0      3,586          12,784           2,891.7  socket                
      0.0           22,754          4          5,688.5          5,666.0      3,587           7,835           1,741.8  pthread_cond_broadcast
      0.0           17,714          6          2,952.3          2,815.5      1,162           5,451           1,699.3  fputs                 
      0.0           17,192          7          2,456.0          1,253.0      1,142           9,207           2,988.8  sigaction             
      0.0           13,585          6          2,264.2          1,483.0      1,112           6,261           1,980.0  fflush                
      0.0           10,541          4          2,635.3          2,665.5      2,254           2,956             336.0  flock                 
      0.0           10,009          4          2,502.3          2,224.0      1,483           4,078           1,195.0  fcntl                 
      0.0            9,438          3          3,146.0          2,024.0      1,663           5,751           2,263.2  bind                  
      0.0            9,067          6          1,511.2          1,592.5      1,152           1,704             212.6  dup2                  
      0.0            8,726          4          2,181.5          1,928.0      1,183           3,687           1,063.3  stat                  
      0.0            7,264          5          1,452.8          1,493.0      1,132           1,994             352.3  fwrite                
      0.0            6,392          1          6,392.0          6,392.0      6,392           6,392               0.0  openat64              
      0.0            4,328          1          4,328.0          4,328.0      4,328           4,328               0.0  lstat                 
      0.0            4,018          1          4,018.0          4,018.0      4,018           4,018               0.0  statx                 
      0.0            3,406          1          3,406.0          3,406.0      3,406           3,406               0.0  mprotect              
      0.0            3,165          2          1,582.5          1,582.5      1,412           1,753             241.1  pthread_mutex_trylock 
      0.0            2,244          2          1,122.0          1,122.0      1,022           1,222             141.4  pread                 
      0.0            1,733          1          1,733.0          1,733.0      1,733           1,733               0.0  getentropy            

Processing [report1.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)    StdDev (ns)                Name               
 --------  ---------------  ---------  -----------  -----------  ---------  -----------  -----------  ---------------------------------
     48.3   15,538,048,318    385,762     40,278.8      3,947.0      2,575  118,704,114    971,879.4  cudaLaunchKernel                 
     26.3    8,471,414,600     20,541    412,414.9      4,047.0      1,934   69,606,258  3,440,926.9  cudaStreamSynchronize            
     12.7    4,098,596,756    150,097     27,306.3      4,338.0      2,785   51,098,831    705,062.2  cuLaunchKernel                   
      6.4    2,067,321,481     37,255     55,491.1      2,966.0      1,764   50,923,789  1,147,342.8  cudaMemsetAsync                  
      3.2    1,020,942,239     30,303     33,691.1      6,853.0      3,577   69,766,984    782,195.7  cudaMemcpyAsync                  
      1.1      341,958,244      2,472    138,332.6    128,193.0      3,566    9,681,285    198,197.8  cudaMalloc                       
      1.0      305,893,256        103  2,969,837.4      3,757.0      2,866   31,872,891  8,171,192.4  cudaDeviceSynchronize            
      0.4      133,332,633        548    243,307.7     95,902.0      1,854   49,544,984  2,136,040.1  cudaFree                         
      0.2       79,036,949         14  5,645,496.4  5,156,767.0     28,203   11,183,134  3,651,693.4  cuLibraryLoadData                
      0.2       51,347,094      9,000      5,705.2      5,550.0      4,779       16,432        829.2  cudaLaunchKernelExC_v11060       
      0.1       45,445,191     85,200        533.4        401.0        230    3,751,076     14,218.6  cuKernelGetFunction              
      0.0        4,597,241         80     57,465.5     45,827.0     38,994      119,466     21,851.6  cuModuleLoad                     
      0.0        4,516,848          2  2,258,424.0  2,258,424.0  2,137,094    2,379,754    171,586.5  cudaGetDeviceProperties_v2_v12000
      0.0        2,984,915      3,710        804.6        731.0        250        9,348        443.4  cudaStreamIsCapturing_v10000     
