
NOTICE: Existing SQLite export found: report2.sqlite
        It is assumed file was previously exported from: report2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report2.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)      Max (ns)      StdDev (ns)    Style                  Range               
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  -------------  -------  -----------------------------------
     53.4   25,210,630,199         50  504,212,604.0  501,081,008.0  434,558,820    728,710,997   33,957,696.0  PushPop  :backward                          
     30.0   14,160,544,952         50  283,210,899.0  165,446,410.5  163,048,315  5,872,607,058  806,830,474.2  PushPop  :forward                           
     16.1    7,620,731,696      9,650      789,713.1       33,789.0        5,341    130,304,599    6,607,257.3  PushPop  CCCL:cub::DeviceRadixSort          
      0.2       91,378,338         50    1,827,566.8       13,070.0       11,873     90,715,523   12,827,199.4  PushPop  CCCL:cub::DeviceSelect::UniqueByKey
      0.1       69,359,142      5,400       12,844.3       12,203.0       10,219      3,131,939       42,468.2  PushPop  CCCL:cub::DeviceReduce::Sum        
      0.1       64,502,339      5,400       11,944.9       11,391.0       10,570         47,440        1,679.1  PushPop  CCCL:cub::DeviceSelect::Flagged    
      0.0        4,625,063         50       92,501.3       13,325.5       12,223      3,969,575      559,491.3  PushPop  CCCL:cub::DeviceScan::ExclusiveScan

Processing [report2.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)       Min (ns)      Max (ns)       StdDev (ns)              Name         
 --------  ---------------  ---------  ---------------  ---------------  ----------  --------------  ----------------  ----------------------
     30.7  215,422,201,894     10,906     19,752,631.8     10,073,820.0       1,032  59,733,605,680     572,186,092.5  poll                  
     17.5  122,899,343,683     13,360      9,199,052.7          2,094.0       1,001  59,735,641,393     731,163,657.8  read                  
     14.1   98,759,040,148        137    720,868,906.2    496,201,065.0      66,315   2,154,191,794     589,859,279.8  pthread_cond_wait     
     13.2   92,749,195,143         20  4,637,459,757.1  2,300,752,542.0      61,156  10,000,090,726   4,906,631,601.5  sem_timedwait         
      8.6   60,472,567,847         74    817,196,862.8  1,000,082,414.0   1,055,298   1,000,186,195     381,302,069.6  clock_nanosleep       
      8.6   60,177,474,756         30  2,005,915,825.2        615,445.0      29,205  59,734,723,846  10,903,277,812.5  sem_wait              
      7.0   49,020,425,132        199    246,333,794.6        569,909.0       1,062     500,206,076     250,573,817.6  pthread_cond_timedwait
      0.1      797,780,223      8,865         89,992.1         23,976.0       1,012      12,501,005         451,809.1  ioctl                 
      0.1      414,064,845    116,192          3,563.6          2,695.0       2,274       6,331,817          23,602.4  munmap                
      0.0      345,856,639         32     10,808,020.0     10,576,732.5  10,200,591      18,585,294       1,443,438.4  fork                  
      0.0      231,109,286    116,242          1,988.2          1,673.0       1,372       4,008,068          16,069.6  mmap64                
      0.0      101,216,393         20      5,060,819.7      5,060,685.0   5,058,907       5,064,398           1,181.8  nanosleep             
      0.0       51,595,662     15,058          3,426.5          3,336.0       1,223          51,718           1,212.6  open64                
      0.0       48,838,694         73        669,023.2         26,601.0       1,002      25,707,016       3,664,704.8  waitpid               
      0.0       18,162,825         47        386,443.1         18,926.0       1,232       2,772,829         742,105.6  pthread_mutex_lock    
